Topic,Count,Name,Representation,Representative_Docs
-1,309,-1_would_dont_take_drive,"['would', 'dont', 'take', 'drive', 'still', 'also', 'use', 'without', 'good', 'see']","['buy car car le', 'better buy car car interesting need car every day', 'available important good car ownership car use people need car every day car sustainable sustainable solution affordable alternative car ownership']"
0,84,0_scooter_bench_hit_delft,"['scooter', 'bench', 'hit', 'delft', 'sidewalk', 'blind', 'report', 'check', 'lock', 'provider']","['scooter go district delft', 'back scooter', 'scooter bicycle car also electric mobility scooter']"
1,75,1_public_transport_become_get,"['public', 'transport', 'become', 'get', 'future', 'west', 'reliable', 'must', 'rid', 'wishful']","['affordable reliable public transport electric many possible system change transport house adopted motion top', 'affordable reliable public transport electric many possible system change transport house adopted motion top', 'affordable reliable public transport electric many possible system change transport house adopted motion top']"
2,52,2_bicycle_bike_fire_water,"['bicycle', 'bike', 'fire', 'water', 'velo', 'injured', 'brigade', 'fall', 'person', 'record']","['bike', 'bike', 'fire brigade bicycle water']"
3,44,3_like_variant_sawing_preferably,"['like', 'variant', 'sawing', 'preferably', 'taxi', 'still', 'beautiful', 'anyone', 'dont', 'something']","['car', 'car', 'car']"
4,43,4_hub_neighborhood_district_consultation,"['hub', 'neighborhood', 'district', 'consultation', 'enforcement', 'come', 'supervision', 'cup', 'opening', 'councilor']","['consultation supervision enforcement another consultation hour supervision enforcement neighborhood hub consultation enforcement present neighborhood hub answer see engaged', 'yesterday district councilor officially district hub soon go neighborhood hub municipality help cup coffee time tile celebration first neighborhood agreement district council', 'yesterday district councilor officially district hub soon go neighborhood hub municipality help cup coffee time tile celebration first neighborhood agreement district council']"
5,38,5_parking_space_permit_fixed,"['parking', 'space', 'permit', 'fixed', 'moment', 'private', 'new', 'alternative', 'make', 'lot']","['plenty available several excellent alternative st car without fixed parking permit', 'fixed parking space', 'end year moment decide whether want renew parking permit longer use car every day anything change perhaps car good alternative save fixed car ownership parking permit']"
6,28,6_premium_electric_interest_becoming,"['premium', 'electric', 'interest', 'becoming', 'expect', 'research', 'petrol', 'nothing', 'place', 'already']","['already possible rent electric may also possible electric municipality research together company determine whether interest use read', 'important know measure nothing end temporary reduction petrol excise simply need switch electric quickly quickly becoming', 'expect see effect yes previous premium scrapped saw rise electric suddenly stopped expect increase']"
7,27,7_rental_rent_ownership_lease,"['rental', 'rent', 'ownership', 'lease', 'pay', 'even', 'usually', 'monthly', 'private', 'well']","['car end car ownership', 'thats right combination car rental car sometimes need car whole weekend long rental car much car', 'car usually rental car ownership']"
8,26,8_electric_opt_already_invest,"['electric', 'opt', 'already', 'invest', 'might', 'increasingly', 'great', 'initiative', 'need', 'episode']","['without car opt car already electric', 'electric car', 'already electric car yes dont use much also car people question opt car especially since rarely electric car']"
9,24,9_mobility_hub_transfer_accessibility,"['mobility', 'hub', 'transfer', 'accessibility', 'college', 'design', 'building', 'collaboration', 'sustainable', 'future']","['know transfer hub current learn pay transfer connect college university choice check mobile access', 'mobility known time building city accessibility around car ownership th century concept congestion future mobility service public transport taxi', 'mobility known time building accessibility city around car ownership th century concept congestion future mobility service public transport taxi']"
10,23,10_public_never_poor_everyone,"['public', 'never', 'poor', 'everyone', 'without', 'necessary', 'imagine', 'time', 'partly', 'countryside']","['time follow mobility people make car research imagine much energy raw save share car via car take door', 'exactly people without car usually never get license car mainly used extra car alternative faltering public transport', 'never happen car always full often need location full dog hair like share car people know everyone car regular public transport']"
11,20,11_expensive_subscription_occasionally_use,"['expensive', 'subscription', 'occasionally', 'use', 'every', 'live', 'day', 'often', 'cleaning', 'hardware']","['interesting often drive car need car occasionally switched think expensive', 'use car every day expensive vehicle long road sometimes need car also subscription busy asset every day', 'car useful occasionally need car expensive go work every day people example irregular cant live want live closer unaffordable']"
12,18,12_bus_bicycle_train_tram,"['bus', 'bicycle', 'train', 'tram', 'hop', 'public', 'commute', 'plan', 'solve', 'daily']","['switch bicycle train car bus tram people rural much le obvious would better getting angry policy phase public transport instead green', 'also become part public transport offering deal transport bicycle car train tram bus share car lease car nice', 'usually bicycle train sometimes electric car public transport bicycle']"
