Topic,Count,Name,Representation,Representative_Docs,Keep?,Combine?,Description
-1,259,-1_also_private_electric_take,"['also', 'private', 'electric', 'take', 'time', 'good', 'use', 'parking', 'drive', 'still']","['mobility known time building city accessibility around car ownership th century concept congestion future mobility service public transport taxi', 'mobility known time building accessibility city around car ownership th century concept congestion future mobility service public transport taxi', 'choice example already brand could longer survive without financial help would long time ago may electric preferably electric cart rather car nothing remains one best best dont worry weight still truck therefore nothing men drive home ton sprinter also often relatively narrow pressure per']",-,,
0,93,0_scooter_bicycle scooter_bicycle_scooter car,"['scooter', 'bicycle scooter', 'bicycle', 'scooter car', 'bench', 'hit', 'go', 'delft', 'sidewalk', 'report']","['bicycle scooter car think let u know via short questionnaire', 'bicycle scooter car think let u know via short questionnaire', 'bicycle scooter car think let u know via short questionnaire']",-,,
1,83,1_car car_like_rid car_dont,"['car car', 'like', 'rid car', 'dont', 'still', 'rid', 'car still', 'would', 'car would', 'better']","['hi ask pick billy yet received response whether borrow car would like hear love car concept', 'car stimulate new movement car still also least per month', 'car stimulate new movement car still also least per month']",-,,
2,78,2_transport_public_public transport_future,"['transport', 'public', 'public transport', 'future', 'transport public', 'become', 'get', 'transport electric', 'new', 'transport must']","['affordable reliable public transport electric many possible system change transport house adopted motion top', 'affordable reliable public transport electric many possible system change transport house adopted motion top', 'affordable reliable public transport electric many possible system change transport house adopted motion top']",-,,
3,52,3_bicycle_public transport_public_transport,"['bicycle', 'public transport', 'public', 'transport', 'cycling', 'transport bicycle', 'walking', 'bus', 'bicycle public', 'train']","['plenty available within walking distance alternative car ownership addition walking cycling public transport', 'nice article people make easier people get rid car encourage walking cycling public transport mobility car bicycle public transport stomp', 'addition walking cycling public transport already plenty available within walking distance']",+,,Expressing their please for shared mobility being available within walking distance
4,45,4_hub_neighborhood_neighborhood hub_district,"['hub', 'neighborhood', 'neighborhood hub', 'district', 'consultation', 'enforcement', 'city hub', 'come', 'district hub', 'city']","['consultation supervision enforcement another consultation hour supervision enforcement neighborhood hub consultation enforcement present neighborhood hub answer see engaged', 'yesterday district councilor officially district hub soon go neighborhood hub municipality help cup coffee time tile celebration first neighborhood agreement district council', 'yesterday district councilor officially district hub soon go neighborhood hub municipality help cup coffee time tile celebration first neighborhood agreement district council']",-,,
5,34,5_electric car_electric_pump_already electric,"['electric car', 'electric', 'pump', 'already electric', 'already', 'car already', 'opt', 'get', 'trying electric', 'tire pump']","['trying electric car easy get family petrol car', 'already electric car yes dont use much also car people question opt car especially since rarely electric car', 'electric car']",-,,
6,30,6_public transport_public_transport_travel,"['public transport', 'public', 'transport', 'travel', 'time', 'transport car', 'necessary', 'never', 'train', 'know']","['never happen car always full often need location full dog hair like share car people know everyone car regular public transport', 'excellent shame small way everyone contribute reducing within switch public transport car electric car take holiday without flying', 'good affordable public transport electric time car really necessary leaving behind option perhaps also fair car like everyone chain ecology fairly']",-,,
7,29,7_electric_premium_electric electric_electric also,"['electric', 'premium', 'electric electric', 'electric also', 'interest', 'research interest', 'interest electric', 'already', 'research', 'becoming']","['already possible rent electric may also possible electric municipality research together company determine whether interest use read', 'electric', 'according report electric electric lower petrol diesel cover distance back square one think electric great']",-,,
8,28,8_bicycle_bike_person injured_fall bicycle,"['bicycle', 'bike', 'person injured', 'fall bicycle', 'injured fall', 'bike bicycle', 'injured', 'velo', 'fall', 'person']","['person injured fall bicycle', 'person injured fall bicycle', 'person injured fall bicycle']",-,,
9,26,9_parking_permit_parking space_parking permit,"['parking', 'permit', 'parking space', 'parking permit', 'space', 'fixed', 'fixed parking', 'car parking', 'alternative', 'parking lot']","['also difficult find parking space neighborhood everyone home personally use car reserved parking space', 'fixed parking space', 'end year moment decide whether want renew parking permit longer use car every day anything change perhaps car good alternative save fixed car ownership parking permit']",+,,"Expressing their frustration finding parking spaces in the neighbourhood, thinking of not renewing their parking space"
10,25,10_ownership_rental_rent_car ownership,"['ownership', 'rental', 'rent', 'car ownership', 'rental car', 'car rental', 'rent car', 'pay', 'car car', 'lease']","['car principle work well speaking experience either via company private car drive every day offer car rent ultimately le space', 'car ownership per inhabitant stable customer reserve car short notice via road within inner private car often front door often fixed location', 'believe aim ultimately really far longer car among making car ownership driving car unaffordable getting u car making unnecessary live minute city']",+,,The positive and negative sides of driving/owning a car
11,21,11_mobility_mobility hub_hub_transfer,"['mobility', 'mobility hub', 'hub', 'transfer', 'sustainable mobility', 'state', 'college', 'sustainable', 'design', 'collaboration']","['state mobility collaboration program response car letter parliament course mobility', 'great news nominated finalist title sustainable mobility hub according jury hub lot quality life cleverly combining public transport traffic greenery nice recognition work', 'explore transform sustainable mobility hub next ten get know current future station area tour architect frank']",-,,
12,21,12_year_evident_year found_year evident,"['year', 'evident', 'year found', 'year evident', 'found', 'number', 'top', 'annual survey', 'another month', 'new spread']","['another month flown lot new spread throughout especially popular request', 'nice news number last year evident annual survey curious', 'nice news number last year evident annual survey curious']",-,,
13,19,13_completely_never_many_nothing happy,"['completely', 'never', 'many', 'nothing happy', 'madness', 'crazy', 'see', 'fall', 'shame', 'neighborhood']","['absolutely chance unfortunately little madness avocado pineapple soy another country rutabaga man really crazy', 'doesnt understand shameless neighborhood stink make noise play health pollution response arrange parking residual heat dick', 'think already district according office seem completely hip one day example go dying relative middle night one available cry']",-,,
14,17,14_expensive_every day_use_every,"['expensive', 'every day', 'use', 'every', 'day', 'live', 'occasionally', 'subscription', 'need', 'example']","['dont people share caravan example use much longer sandwich maker drill tell sell thing bed car management cleaning maintenance usually going expensive', 'use car every day expensive vehicle long road sometimes need car also subscription busy asset every day', 'car useful occasionally need car expensive go work every day people example irregular cant live want live closer unaffordable']",+,,Cars being expensive to own
15,16,15_walking distance_within walking_distance_within,"['walking distance', 'within walking', 'distance', 'within', 'walking', 'car within', 'number', 'grown', 'per', 'higher']","['top looking number per share car within walking distance', 'number grown significantly additional year new annual today already electric already car within walking distance home', 'number grown significantly additional year new annual today already electric already car within walking distance home']",-,,
16,15,16_battery_possible work_battery one_one electric,"['battery', 'possible work', 'battery one', 'one electric', 'power possible', 'car supply', 'power', 'supply power', 'possible', 'work']","['battery one electric car supply power possible work', 'battery one electric car supply power possible work', 'battery one electric car supply power possible work']",-,,
17,13,17_endura_initiative_project_meeting,"['endura', 'initiative', 'project', 'meeting', 'ambitious initiative', 'ambitious', 'registration', 'neighborhood endura', 'come hear', 'participation free']","['share car together neighborhood endura project come hear ambitious initiative participation free registration', 'share car together neighborhood endura project come hear ambitious initiative participation free registration', 'share car together neighborhood endura project come hear ambitious initiative participation free registration']",-,,
18,13,18_great_via_hey available_via great,"['great', 'via', 'hey available', 'via great', 'dive', 'dive also', 'great good', 'discover dive', 'company great', 'commercial municipality']","['great strange', 'municipality indirectly subsidize commercial', 'great start choose discover dive']",-,,
19,13,19_mobility_car mobility_sustainable_people need,"['mobility', 'car mobility', 'sustainable', 'people need', 'encouraging', 'growth', 'license', 'everything', 'car also', 'le']","['correct understandable also sustainable situation global scale government leaf everything market little policy would like everywhere second third car le often', 'also effect intended car ownership many number adult increasing available space encouraging car one way manage mobility growth addition encouraging cycling public transport', 'also smaller transition period private car mobility becoming expensive difficult car mobility accessible indeed everything longer possible way used']",+,,car ownership
20,11,20_solar_drive solar_drive_energy,"['solar', 'drive solar', 'drive', 'energy', 'collaborate drive', 'collaborate', 'collaboration soon', 'soon', 'organized', 'hand']","['drive solar collaborate', 'drive solar charge anywhere innovation go hand hand world drive solar', 'drive solar join end electric connected drive solar charging']",+,,
21,11,21_charging_municipality charging_charging electric_charging day,"['charging', 'municipality charging', 'charging electric', 'charging day', 'day evening', 'power work', 'neighborhood power', 'provide entire', 'public charging', 'entire neighborhood']","['buy electronic install charging guarantee energy security adapt infrastructure like plan canal belt instead realistic plan people rest', 'charging day evening provide entire neighborhood power work', 'charging day evening provide entire neighborhood power work']",-,,
22,11,22_fleet_flemish_already electric_already,"['fleet', 'flemish', 'already electric', 'already', 'entire fleet', 'electrically powered', 'powered', 'passenger', 'electrically', 'share electric']","['entire fleet already electric considerably higher dutch fleet also higher lease fleet', 'know flemish already electrically powered lot share electric total flemish passenger car fleet', 'know flemish already electrically powered lot share electric total flemish passenger car fleet']",-,,
23,10,23_parking city_transport success_center make_make transport,"['parking city', 'transport success', 'center make', 'make transport', 'city center', 'success', 'success parking', 'parking', 'center', 'make']","['parking city center make transport success', 'parking city center make transport success', 'parking city center make transport success']",-,,
24,10,24_electricity_first supply_world first_supply electricity,"['electricity', 'first supply', 'world first', 'supply electricity', 'world', 'first', 'supply', 'electricity world', 'renewable', 'even broken']","['world first supply electricity', 'world first supply electricity', 'world first supply electricity']",-,,
25,10,25_car none_none_never_car never,"['car none', 'none', 'never', 'car never', 'nobody', 'driving car', 'police', 'driving', 'everyone', 'without']","['leave nothing happy car maybe car unaffordable driving car get used petrol price per liter', 'nobody driving car dont drive car everyone like make choice safety family everyone else stay away', 'handy man lost police military police sort car none business need able buy action peace']",+,,"car ownership, unaffordable?"
26,9,26_parking pressure_pressure_quite hassle_combat,"['parking pressure', 'pressure', 'quite hassle', 'combat', 'pressure sometimes', 'combat parking', 'hassle', 'sometimes quite', 'quite', 'sometimes']","['well combat parking pressure sometimes quite hassle', 'combat parking pressure sometimes quite hassle', 'combat parking pressure sometimes quite hassle via']",-,,
27,8,27_research_user research_user_report,"['research', 'user research', 'user', 'report', 'impact car', 'impact', 'survey', 'behind user', 'research report', 'launch research']","['curious user research important found knowing entire report available everyone like report research', 'today official launch research report impact car behind user research full report free', 'today official launch research report impact car behind user research full report free']",-,,
28,8,28_first ride_ride_book_trip,"['first ride', 'ride', 'book', 'trip', 'first', 'wonderfully sustainable', 'receive discount', 'curious first', 'drive handy', 'handy affordable']","['want curious first ride car drive handy affordable wonderfully sustainable also want make impact together book first ride receive discount', 'hi curious first ride car drive handy affordable wonderfully sustainable also want make impact together book first ride receive discount', 'hi curious first ride car drive handy affordable wonderfully sustainable also want make impact together book first ride receive discount']",-,,
