Keyword,Tweet Text,Translated Text
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@PekePeter @Nieuwsblad_be @groen Dan is het wel dom dat ze een deelauto viseren 😂,@PekePeter @Nieuwsblad_be @groen Then it is stupid that they target a shared car 😂
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Wéér trekt een aanbieder van deelvervoer zich terug uit Amersfoort: ‘Fietsen onvoldoende gebruikt’ https://t.co/79sdpACR7M,Once again a shared transport provider is withdrawing from Amersfoort: 'Bicycles not used enough' https://t.co/79sdpACR7M
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,#Tinyhouses #Westpark #Groningen Er gebeurt hier veel meer dan wonen alleen. Een aantal buren heeft de eigen auto verkocht en gaat vanaf vrijdag met een aantal van deze elektrische deelauto's rijden. 🚗 https://t.co/rTCJlQAYCY,#Tinyhouses #Westpark #Groningen There is much more going on here than just living. A number of neighbors have sold their own cars and will be driving a number of these electric shared cars from Friday. 🚗 https://t.co/rTCJlQAYCY
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Autodelen of een deelauto. Ideaal te combineren met vaker fietsen en het OV. 
@markharbers en @vivianneheijnen starten mooie campagne en hebben daarbij ook korting geregeld voor nieuwe klanten:
https://t.co/1hhjr1gmz3","Car sharing or a shared car. Ideal to combine with more frequent cycling and public transport.
@markharbers and @vivianneheijnen are starting a great campaign and have also arranged a discount for new customers:
https://t.co/1hhjr1gmz3"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Vandaag is tevens de start van de landelijke campagne 'Autodelen maakt je wereld mooier'. Lees meer over de voordelen van autodelen en bekijk de verschillende kortingsacties van deelauto aanbieders op: https://t.co/A2bwYfT4Ys #startmetdelen #autodelenmaaktjewereldmooier,Today is also the start of the national campaign 'Car sharing makes your world more beautiful'. Read more about the benefits of car sharing and view the various discount promotions from car sharing providers at: https://t.co/A2bwYfT4Ys #startmetdelen #autodelenmaaktjewereldmooier
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Elektrische deelauto’s hebben grote potentie om onze ambities voor een duurzame toekomst te halen. Hoe kun je dit in jouw gemeente nu goed organiseren? In de volledige NKL Snellader legt Tanja Manders je er alles over uit: https://t.co/YNxWRZgFJE #autodelenmaaktjewereldmooier https://t.co/wzcm8ZT8AA,"Electric shared cars have great potential to achieve our ambitions for a sustainable future. How can you organize this well in your municipality? In the full NKL Fast Charger, Tanja Manders explains everything to you: https://t.co/YNxWRZgFJE #autodelenmaaktjewereldmooier https://t.co/wzcm8ZT8AA"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@ChrisMooiweer Wat is daarachter de gedachte? Deelauto's worden gebruikt door eenpersoons huishoudens maar ook door mensen met hoger inkomen, duurdere woningen, gezinnen etc","@ChrisMooiweer What is the thinking behind that? Shared cars are used by single-person households, but also by people with higher incomes, more expensive homes, families, etc"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@Nieuwsblad_be Een deelauto gesubsidieerd door ons belastingsgeld. Wij zullen wel werken voor hun pleziertje. 😡
Deze 'jongeren' gaan de pensioenen van morgen verzorgen. 🤦","@Nieuwsblad_be A shared car subsidized by our tax money. We will work for their pleasure. 😡
These 'young people' will provide the pensions of tomorrow. 🤦"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Veiligheidsslot moet zorgen dat beschonken gebruiker deelscooter laat staan https://t.co/VylkP8OA0Y https://t.co/qK8GxW5Uqo,Safety lock must ensure that intoxicated user leaves shared scooter behind https://t.co/VylkP8OA0Y https://t.co/qK8GxW5Uqo
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@ChrisMooiweer Mooi draadje! Het wordt hoog tijd voor een duidelijke keuze voor fiets, OV en deelauto's. Dat scheelt enorm veel ruimte, kosten, vervuiling, geluidsoverlast, verkeersongelukken, files. En, het is de enige manier om vervoer ook voor mensen met weinig geld betaalbaar te krijgen.","@ChrisMooiweer Nice thread! It is high time for a clear choice for bicycle, public transport and car sharing. That saves a huge amount of space, costs, pollution, noise pollution, traffic accidents and traffic jams. And, it is the only way to make transport affordable for people with little money."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Jongeren steken auto met vuurwerk in brand in Brussel en lachen toesnellende politie uit https://t.co/0B1fuF7Pl6 Niet goed te keuren! Maar zoals het klimaat verandert veranderen ook andere dingen. Beter zo een deelauto dan de auto van de werkende mens zelf instaat vr. de kosten.,"Young people set fire to car with fireworks in Brussels and laugh at rushing police https://t.co/0B1fuF7Pl6 Not to be approved! But as the climate changes, other things change too. Better to have a shared car than the car of the working person himself. costs."
