Keyword,Tweet Text
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@PekePeter @Nieuwsblad_be @groen Dan is het wel dom dat ze een deelauto viseren 😂
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Wéér trekt een aanbieder van deelvervoer zich terug uit Amersfoort: ‘Fietsen onvoldoende gebruikt’ https://t.co/79sdpACR7M
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,#Tinyhouses #Westpark #Groningen Er gebeurt hier veel meer dan wonen alleen. Een aantal buren heeft de eigen auto verkocht en gaat vanaf vrijdag met een aantal van deze elektrische deelauto's rijden. 🚗 https://t.co/rTCJlQAYCY
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Autodelen of een deelauto. Ideaal te combineren met vaker fietsen en het OV. 
@markharbers en @vivianneheijnen starten mooie campagne en hebben daarbij ook korting geregeld voor nieuwe klanten:
https://t.co/1hhjr1gmz3"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Vandaag is tevens de start van de landelijke campagne 'Autodelen maakt je wereld mooier'. Lees meer over de voordelen van autodelen en bekijk de verschillende kortingsacties van deelauto aanbieders op: https://t.co/A2bwYfT4Ys #startmetdelen #autodelenmaaktjewereldmooier
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Elektrische deelauto’s hebben grote potentie om onze ambities voor een duurzame toekomst te halen. Hoe kun je dit in jouw gemeente nu goed organiseren? In de volledige NKL Snellader legt Tanja Manders je er alles over uit: https://t.co/YNxWRZgFJE #autodelenmaaktjewereldmooier https://t.co/wzcm8ZT8AA
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@ChrisMooiweer Wat is daarachter de gedachte? Deelauto's worden gebruikt door eenpersoons huishoudens maar ook door mensen met hoger inkomen, duurdere woningen, gezinnen etc"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@Nieuwsblad_be Een deelauto gesubsidieerd door ons belastingsgeld. Wij zullen wel werken voor hun pleziertje. 😡
Deze 'jongeren' gaan de pensioenen van morgen verzorgen. 🤦"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Veiligheidsslot moet zorgen dat beschonken gebruiker deelscooter laat staan https://t.co/VylkP8OA0Y https://t.co/qK8GxW5Uqo
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@ChrisMooiweer Mooi draadje! Het wordt hoog tijd voor een duidelijke keuze voor fiets, OV en deelauto's. Dat scheelt enorm veel ruimte, kosten, vervuiling, geluidsoverlast, verkeersongelukken, files. En, het is de enige manier om vervoer ook voor mensen met weinig geld betaalbaar te krijgen."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Jongeren steken auto met vuurwerk in brand in Brussel en lachen toesnellende politie uit https://t.co/0B1fuF7Pl6 Niet goed te keuren! Maar zoals het klimaat verandert veranderen ook andere dingen. Beter zo een deelauto dan de auto van de werkende mens zelf instaat vr. de kosten.
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Boven een norm van 0.7 voor bewoners wordt verondersteld dat er geen deelauto's zijn. De vaste relaties zijn verder afkomstig van het tabelletje van RH/DHV. Dus vragen daarover moet je aan hen stellen. 5/
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"We zitten er weer bovenop! Heeft u ook overlast van een deelscooter? Eerst melden bij GoSharing (085 107 0505). Na 24 uur nog niet opgelost? Laat het de gemeente weten👇
https://t.co/Teb5meZasX"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Mobiliteitshub met fietsparkeerplaats en met ruimte  om auto’s van bezoekers buiten het centrum te houden.
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,College presenteert Mobiliteit Masterplan II Tholen https://t.co/Z3vu1ILAO7
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"'Alcoholslot' op deelscooter moet dronken bestuurder uit verkeer houden
https://t.co/J8ZCUSqEde"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Veiligheidsslot moet zorgen dat beschonken gebruiker deelscooter laat staan
https://t.co/LUMA9AU4ed"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Deelscooters voor 25% gebruikt door dronken jongeren en voor criminele activiteiten =dus levensgevaarlijk!! Er komt nu een veiligheidsslot .De deelscooter  ""pilot"" ( steeds meer deelscooters) beëindigen ,is een betere en 
vooral veiligere optie! @Amsterdamnl @VeiligVerkeer"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@sophietjerietje @NS_online Vroeger reisde ik voor mn plezier met de trein en was dat redelijk betrouwbaar. Tegenwoordig heb je totaal geen idee of je überhaupt op je bestemming aan gaat komen... en of je weer thuis komt. Zou een deelauto iets voor jou zijn? MyWheels bv? Ik kan ook geen auto kopen, te duur."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Voor wie wil 👉
Benieuwd naar je eerste rit in een deelauto? Ik rij met de auto's van MyWheels. Handig, voordelig en lekker duurzaam! Wil jij ook samen impact maken? Boek een eerste rit, dan ontvangen we beide €25 korting -- https://t.co/SVcOWmxY6p https://t.co/SVcOWmxY6p"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@sophietjerietje @NS_online Ik herken de drama 😧 Bij #Blauwnet in het oosten van het land is het nog veel erger: daar rijden de treinen standaard niet, bij uitzondering wel. Te bizar. Ik reis tegenwoordig zo weinig mogelijk meer met de trein, noodzakelijke verre reizen met de taxi. Overweeg een deelauto..."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Hulp gevraagd aan de X posse (invullen enquete en/of  delen)!
Oproep aan mensen die wonen/werken/studeren in het Brusselse - in het kader van  masterproef in de Geografie en Geomatica onderzoek naar de genderkloof op vlak van gebruik van gedeelde micromobiliteit (deelfiets, elektrische deelfiets, deelstep) in Brussel.

Woon/werk/studeer jij in het Brussels Hoofdstedelijk Gewest? Dan help je me enorm met het invullen van onderstaande enquête (duurt 5 à 10 min). (Je hoeft nog geen ervaring te hebben met deelmobiliteit!)

Link: https://t.co/Bny3241vQp"
